"","CIKCode","Year","DirectorID","CompanyID","DateStartRole","DirectorName","CompanyName","RoleName","DateEndRole","Seniority","LGBTQ","Ticker","ISIN","Description","AnnouncementDate","cusip.x","has_lgbt","O_AnnouncementDate","AnnouncementDate_p5","AnnouncementDate_p3","AnnouncementDate_p1","AnnouncementDate_m5","AnnouncementDate_m3","AnnouncementDate_m1","DAYDIFF","day","car5","car3","car1","car01","car0","executive","CEO","CFO","Chairman","Independent","duality","Title","SuffixTitle","DOB","DOD","Age","Gender","Nationality","Recreations","DirectorVisible","NetworkSize","Female","BIRTHYEAR","UNIQUE","gvkey","datadate","indfmt","consol","popsrc","datafmt","tic","cusip.y","conm","curcd","fyr","at","ceq","csho","dltt","ni","exchg","costat","prcc_c","sic","btm","roa","atw","roaw","btmw","Lev","Levw","car0w","car01w","car1w","car3w","car5w"
"1",2034,"2005",446200,631,2005-12-01,"William Britton","ACETO CORP (De-listed 04/2019)","Independent Director","2019-04-03","Supervisory Director",0,"ACETQ","US0044461004","It has been announced that William Britton will join this Board",2005-10-17,"004446100",0,2005-10-17,2005-10-24,2005-10-20,2005-10-18,2005-10-10,2005-10-12,2005-10-14,45,"lundi",-0.015441528139047,-0.00297082967920528,0.0238115561329698,0.000615327557041407,-0.0109374664791459,0,0,0,0,1,0,"Mr","","1945","n.a.",60,"M","","","Yes",230,0,1945,"446200_2034",1094,"2005-06-30","INDL","C","D","STD","ACETQ","004446100","ACETO CORP","USD",6,149.028,107.655,24.282,0,10.015,19,"I",6.58,5160,0.673788907389841,0.0672021365112596,149.028,0.0672021365112596,0.673788907389841,0,0,-0.0109374664791459,0.000615327557041407,0.0238115561329698,-0.00297082967920528,-0.015441528139047
"2",2034,"2009",63322,631,2009-05-07,"Richard Randall","ACETO CORP (De-listed 04/2019)","Independent Director","2014-12-04","Supervisory Director",0,"ACETQ","US0044461004",NA,2009-05-07,"004446100",0,2009-05-10,2009-05-14,2009-05-12,2009-05-08,2009-04-30,2009-05-04,2009-05-06,-3,"jeudi",-0.327212287345331,-0.224224253160737,-0.158496939308229,-0.0950460803339699,0.0345884993996961,0,0,0,0,1,0,"Mr","CPA","1937","n.a.",72,"M","","","Yes",277,0,1937,"63322_2034",1094,"2009-06-30","INDL","C","D","STD","ACETQ","004446100","ACETO CORP","USD",6,205.464,141.568,24.771,0,8.629,19,"I",5.15,5160,1.10972233817104,0.0419976248880582,205.464,0.0419976248880582,1.10972233817104,0,0,0.0345884993996961,-0.0950460803339699,-0.158496939308229,-0.224224253160737,-0.327212287345331
"3",2034,"2009",336724,631,2009-12-10,"Vince Miata","ACETO CORP (De-listed 04/2019)","President/CEO","2010-09-08","Executive Director",0,"ACETQ","US0044461004","It has been announced that Vince Miata will join this Board",2009-10-28,"004446100",0,2009-10-28,2009-11-04,2009-11-02,2009-10-29,2009-10-21,2009-10-23,2009-10-27,43,"mercredi",-0.0967245563095229,-0.104541382988589,-0.0439580427933622,-0.0417726166261403,-0.0137492412369888,0,1,0,0,0,0,"Mr","","1953","n.a.",52,"M","","","Yes",161,0,1957,"336724_2034",1094,"2009-06-30","INDL","C","D","STD","ACETQ","004446100","ACETO CORP","USD",6,205.464,141.568,24.771,0,8.629,19,"I",5.15,5160,1.10972233817104,0.0419976248880582,205.464,0.0419976248880582,1.10972233817104,0,0,-0.0137492412369888,-0.0417726166261403,-0.0439580427933622,-0.104541382988589,-0.0967245563095229
"4",2034,"2011",488126,631,2011-12-08,"Natasha Giordano","ACETO CORP (De-listed 04/2019)","Independent Director","2019-04-03","Supervisory Director",0,"ACETQ","US0044461004","It has been announced that Natasha Giordano will join this Board",2011-10-10,"004446100",0,2011-10-10,2011-10-17,2011-10-13,2011-10-11,2011-10-03,2011-10-05,2011-10-07,59,"lundi",0.0423843926616992,-0.00742192547911751,0.00675971968389698,0.0463948519712758,0.00671178322391961,0,0,0,0,1,0,"Ms","","1960","n.a.",51,"F","","","Yes",1118,1,1960,"488126_2034",1094,"2011-06-30","INDL","C","D","STD","ACETQ","004446100","ACETO CORP","USD",6,311.665,160.821,26.62,48.75,8.968,19,"I",6.9,5160,0.875559402868062,0.0287744854250557,311.665,0.0287744854250557,0.875559402868062,0.156417948759084,0.156417948759084,0.00671178322391961,0.0463948519712758,0.00675971968389698,-0.00742192547911751,0.0423843926616992
"5",2034,"2011",270752,631,2011-05-05,"Sal Guccione","ACETO CORP (De-listed 04/2019)","Director - SD","2011-12-01","Supervisory Director",0,"ACETQ","US0044461004","It has been announced that Sal Guccione will join this Board",2011-05-05,"004446100",0,2011-05-05,2011-05-12,2011-05-10,2011-05-06,2011-04-28,2011-05-02,2011-05-04,0,"jeudi",0.0149569243368632,-0.00935800759299672,0.039854978392011,0.0595734817472877,0.0609824769125581,0,0,0,0,0,0,"Mr","","1963","n.a.",48,"M","American","","Yes",1022,0,1963,"270752_2034",1094,"2011-06-30","INDL","C","D","STD","ACETQ","004446100","ACETO CORP","USD",6,311.665,160.821,26.62,48.75,8.968,19,"I",6.9,5160,0.875559402868062,0.0287744854250557,311.665,0.0287744854250557,0.875559402868062,0.156417948759084,0.156417948759084,0.0609824769125581,0.0595734817472877,0.039854978392011,-0.00935800759299672,0.0149569243368632
"6",2034,"2013",31640,631,2013-12-05,"Alan Levin","ACETO CORP (De-listed 04/2019)","Independent Director","2015-12-15","Supervisory Director",1,"ACETQ","US0044461004","It has been announced that Alan Levin will join this Board",2013-10-18,"004446100",0,2013-10-18,2013-10-25,2013-10-23,2013-10-21,2013-10-13,2013-10-15,2013-10-17,48,"vendredi",-0.0351579509324312,-0.011193695573051,-0.0010506421524921,-0.00421029384850558,-0.0128604083977362,0,0,0,0,1,0,"Mr","","22-mars-62","n.a.",51,"M","American","","Yes",3040,0,1962,"31640_2034",1094,"2013-06-30","INDL","C","D","STD","ACETQ","004446100","ACETO CORP","USD",6,323.43,194.64,27.831,20.355,22.328,19,"I",25.01,5160,0.279633753914625,0.0690350307639984,323.43,0.0690350307639984,0.279633753914625,0.062934792690845,0.062934792690845,-0.0128604083977362,-0.00421029384850558,-0.0010506421524921,-0.011193695573051,-0.0351579509324312
"7",2034,"2014",1449171,631,2014-07-29,"Doctor Dan Yarosh","ACETO CORP (De-listed 04/2019)","Independent Director","2019-04-03","Supervisory Director",0,"ACETQ","US0044461004",NA,2014-07-30,"004446100",0,2014-07-30,2014-08-06,2014-08-04,2014-07-31,2014-07-23,2014-07-25,2014-07-29,-1,"mercredi",0.0665928441884463,-0.0319245008597183,-0.00225749456516791,0.00272358169026905,0.00793483531880995,0,0,0,0,1,0,"Doctor","","1954","n.a.",60,"M","","","Yes",682,0,1954,"1449171_2034",1094,"2014-06-30","INDL","C","D","STD","ACETQ","004446100","ACETO CORP","USD",6,467.984,233.584,28.772,97.158,29,19,"I",21.7,5160,0.374122050303643,0.0619679305275394,467.984,0.0619679305275394,0.374122050303643,0.207609661868782,0.207609661868782,0.00793483531880995,0.00272358169026905,-0.00225749456516791,-0.0319245008597183,0.0665928441884463
"8",2034,"2016",1775921,631,2016-09-06,"Bill Kennally III","ACETO CORP (De-listed 04/2019)","Independent Director","2017-10-02","Supervisory Director",0,"ACETQ","US0044461004",NA,2016-09-06,"004446100",0,2016-09-08,2016-09-13,2016-09-09,2016-09-07,2016-08-30,2016-09-01,2016-09-05,-2,"mardi",-0.035986840311914,-0.0289917259288966,-0.0253473565072199,-0.0253473565072199,-0.014249875404018,0,0,0,0,1,0,"Mr","","1956","n.a.",60,"M","","","Yes",1600,0,1956,"1775921_2034",1094,"2016-06-30","INDL","C","D","STD","ACETQ","004446100","ACETO CORP","USD",6,540.778,304.442,29.595,118.592,34.766,19,"I",21.97,5160,0.468226689191969,0.0642888579047225,540.778,0.0642888579047225,0.468226689191969,0.219298862009919,0.219298862009919,-0.014249875404018,-0.0253473565072199,-0.0253473565072199,-0.0289917259288966,-0.035986840311914
"9",2034,"2017",1808894,631,2017-02-02,"Vimal Kavuru","ACETO CORP (De-listed 04/2019)","Director - SD","2019-04-03","Supervisory Director",0,"ACETQ","US0044461004","It has been announced that Vimal Kavuru will join this Board",2016-12-21,"004446100",0,2016-12-21,2016-12-28,2016-12-26,2016-12-22,2016-12-14,2016-12-16,2016-12-20,43,"mercredi",0.0366019513517206,0.00472066155666698,0.0143037428311679,0.0204206661088442,0.0239555854915786,0,0,0,0,0,0,"Mr","","1969","n.a.",48,"M","","","Yes",148,0,1969,"1808894_2034",1094,"2017-06-30","INDL","C","D","STD","ACETQ","004446100","ACETO CORP","USD",6,1038.185,405.067,30.094,339.2,11.376,19,"I",10.33,5160,1.30300662956618,0.0109575846308702,1038.185,0.0109575846308702,1.30300662956618,0.32672404243945,0.32672404243945,0.0239555854915786,0.0204206661088442,0.0143037428311679,0.00472066155666698,0.0366019513517206
"10",5272,"2004",32796,1856,2004-05-19,"Don Kanak","AMERICAN INTERNATIONAL GROUP INC (AIG)","Vice Chairman/Co-COO","2005-03-14","Executive Director",0,"AIG","US0268747849","It has been announced that Don Kanak will join this Board",2004-04-06,"026874784",0,2004-04-06,2004-04-13,2004-04-09,2004-04-07,2004-03-30,2004-04-01,2004-04-05,43,"mardi",0.0411940028160871,0.0521864258547858,0.0259870027178897,0.0119328371632283,-0.000432470194030879,0,0,0,1,0,0,"Mr","JD CLU ChFC","1953","n.a.",51,"M","American","","Yes",4071,0,1953,"32796_5272",1487,"2004-12-31","FS","C","D","STD","AIG","026874784","AMERICAN INTERNATIONAL GROUP","USD",12,798660,80607,NA,70843,NA,11,"A",65.67,6331,0.334517503705211,0.0184733569076942,798660,0.0184733569076942,0.334517503705211,0.0887023263967145,0.0887023263967145,-0.000432470194030879,0.0119328371632283,0.0259870027178897,0.0521864258547858,0.0411940028160871
